Titel,Datum,Ort,Link,Adresse,lat,lon,Datum/Uhrzeit
Kölner Haie - Adler Mannheim,,,https://rausgegangen.de/events/kolner-haie-adler-mannheim-0/,"Willy-Brandt-Platz 3, 50679 Köln",50.9385846,6.9830722,"So, 02. Feb | 14:00"
Bachata Anfänger Bootcamp,,,https://rausgegangen.de/events/bachata-anfanger-bootcamp-1/,"Venloer Str. 420, Eingang Lessingstr., Venloer Straße 420",,,"Fr, 07. Feb | 19:00"
Zeitreisende,,,https://rausgegangen.de/events/zeitreisende-0/,"Japanisches Kulturinstitut Köln, Universitätsstraße 98",,,"Heute, 09. Jan | 18:30"
Special Screening: FILMSTUNDE_23 mit Regiegespräch,,,https://rausgegangen.de/events/special-screening-filmstunde-23-mit-regiegesprach-0/,"Filmhaus Köln, Maybachstraße 111",50.9489361,6.949222272825372,"Morgen, 10. Jan | 18:30"
"Mann sein ist schwer, Grüße aus Shibamata",,,https://rausgegangen.de/events/mann-sein-ist-schwer-grue-aus-shibamata-0/,"Japanisches Kulturinstitut Köln, Universitätsstraße 98",,,"Sa, 11. Jan | 14:30"
Filmpsychlogische Betrachtungen Das Lehrerzimmer,,,https://rausgegangen.de/events/filmpsychlogische-betrachtungen-das-lehrerzimmer-0/,"Zülpicher Straße 24, 50674 Köln",50.9296771,6.93787245822145,"So, 12. Jan | 15:30"
Best of Cinema: SIEBEN - OmU,,,https://rausgegangen.de/events/best-of-cinema-sieben-omu-0/,"Herbrandstraße 11, 50825 Köln",50.951351200000005,6.911303994950283,"So, 12. Jan | 21:00"
Nabbies Liebe,,,https://rausgegangen.de/events/nabbies-liebe-0/,"Japanisches Kulturinstitut Köln, Universitätsstraße 98",,,"Mo, 13. Jan | 18:30"
SHORT MONDAY,,,https://rausgegangen.de/events/short-monday-39/,"Filmhaus Köln, Maybachstraße 111",50.9489361,6.949222272825372,"Mo, 13. Jan | 20:00"
Seniorenkino: SEPTEMBER 5,,,https://rausgegangen.de/events/seniorenkino-september-5-0/,"Herbrandstraße 11, 50825 Köln",50.951351200000005,6.911303994950283,"Di, 14. Jan | 13:00"
Kinderwagenkino: DER SPITZNAME,,,https://rausgegangen.de/events/kinderwagenkino-der-spitzname-0/,"Herbrandstraße 11, 50825 Köln",50.951351200000005,6.911303994950283,"Mi, 15. Jan | 11:00"
Misty - The Erroll Garner Story - Premiere + Konzert,,,https://rausgegangen.de/events/misty-the-erroll-garner-story-premiere-konzert-0/,"Venloer Straße 40, 50672 Köln",50.94298625,6.93515992886236,"Mi, 15. Jan | 18:30"
MISTY - Filmpremiere feat. Nils Petter Molvær live,,,https://rausgegangen.de/events/misty-filmpremiere-feat-nils-petter-molvr-live-0/,"Venloer Straße 40, 50672 Köln",50.94298625,6.93515992886236,"Mi, 15. Jan | 19:00"
"heimkino. AUF WIEDERSEHEN, KINDER - OmU",,,https://rausgegangen.de/events/heimkino-auf-wiedersehen-kinder-omu-0/,"Herbrandstraße 11, 50825 Köln",50.951351200000005,6.911303994950283,"Mi, 15. Jan | 20:00"
Sad Vacation,,,https://rausgegangen.de/events/sad-vacation-0/,"Japanisches Kulturinstitut Köln, Universitätsstraße 98",,,"Do, 16. Jan | 18:30"
